class_index,Recipe Name,Ingredients,Instructions
26,clam_chowder,"clams,clam juice,bacon,onion,celery,carrots,russet potatoes,garlic,heavy cream,milk,flour,thyme,bayleaves,salt,pepper,chopped parseley","Prepare the Ingredients: Dice 1 medium onion, 2 stalks of celery, and 2 medium potatoes into small cubes. Mince 2 cloves of garlic. Drain and chop 2 cans (6.5 ounces each) of clams, reserving the juice. 

Cook the Vegetables: In a large pot, melt 4 tablespoons of butter over medium heat. Add the diced onion, celery, and potatoes. Cook for about 5 minutes until the vegetables are softened. Add the minced garlic and cook for another minute until fragrant.

Make the Base: Stir in 1/4 cup all-purpose flour to the vegetables and cook for 2-3 minutes to create a roux. Gradually add 2 cups of clam juice, stirring constantly to avoid lumps. Once the mixture begins to thicken, add 2 cups of whole milk and 1/2 cup heavy cream. Stir until combined.

Simmer the Chowder: Bring the mixture to a gentle simmer and cook for 10-15 minutes, or until the potatoes are tender and the chowder has thickened.

Add the Clams: Stir in the chopped clams and cook for an additional 5 minutes. Season with salt, freshly ground black pepper, and 1/2 teaspoon dried thyme.

Serve: Ladle the chowder into bowls and garnish with chopped parsley. Serve with crackers or crusty bread for dipping. Enjoy!"
27,crab_cakes,"freah crab meat,breadcrumbs,egg,mayonnaise,dijpn mustard,worcestershire sauce,old bay seasoning,lemon juice,green onions,parsley,salt,pepper,vegetable oil","Prepare the Crab Mixture: In a large bowl, combine 1 pound of lump crab meat, 1/4 cup mayonnaise, 1 large egg, 1 tablespoon Dijon mustard, 1 tablespoon Worcestershire sauce, 1 teaspoon Old Bay seasoning, and a pinch of salt and pepper. Add 1/4 cup finely chopped parsley and 1/4 cup breadcrumbs. Gently fold the mixture until just combined, being careful not to break up the crab too much.

Form the Crab Cakes: Divide the mixture into 6-8 portions and gently form them into patties, about 1 inch thick. Place the patties on a plate or tray and refrigerate for at least 30 minutes to help them set.

Cook the Crab Cakes: Heat 2 tablespoons of vegetable oil or butter in a skillet over medium heat. Once the oil is hot, carefully add the crab cakes and cook for 3-4 minutes on each side, until golden brown and crispy.

Serve: Transfer the crab cakes to a plate lined with paper towels to drain excess oil. Serve with lemon wedges and a dipping sauce such as tartar sauce, remoulade, or aioli. Enjoy!"
28,cream_brulee,"heavy cream, whole milk, sugar, vanilla extract, salt, egg yolks","Prepare the Cream: In a saucepan, combine 2 cups heavy cream, 1 teaspoon vanilla extract, and 1/2 vanilla bean (split and scraped) if using. Heat over medium heat until it begins to simmer, but do not let it boil. Remove from heat and let it steep for 10 minutes.

Whisk the Eggs: In a mixing bowl, whisk together 5 large egg yolks and 1/2 cup granulated sugar until the mixture becomes pale and thick.

Temper the Eggs: Gradually pour a small amount of the hot cream mixture into the egg mixture while whisking constantly to prevent curdling. Slowly add the rest of the cream in a steady stream, whisking continuously.

Strain the Custard: Pour the custard mixture through a fine-mesh strainer into another bowl to remove any solids or coagulated eggs.

Bake the Crème Brûlée: Preheat your oven to 325°F (163°C). Pour the custard into 4-6 ramekins. Place the ramekins in a large baking dish and fill the dish with hot water halfway up the sides of the ramekins. Bake for 40-45 minutes, or until the custard is set but still slightly jiggly in the center.

Chill: Let the crème brûlées cool at room temperature, then refrigerate for at least 2 hours or overnight.

Caramelize the Sugar: Before serving, sprinkle a thin, even layer of granulated sugar over the top of each custard. Use a kitchen torch to melt and caramelize the sugar until golden and crispy. If you don’t have a torch, place the ramekins under a broiler for 1-2 minutes, keeping a close eye on them.

Serve: Allow the sugar to harden for a minute before serving. Enjoy your crème brûlée with a crisp caramelized top and creamy interior!"
29,croque_madame,"bread,ham,gruyere cheese,bechamel sauce,butter,flour,milk,salr,pepper,mutmeg,eggs","Prepare the Sauce: In a saucepan, melt 2 tablespoons of butter over medium heat. Whisk in 2 tablespoons of all-purpose flour and cook for 1-2 minutes to form a roux. Gradually whisk in 1 cup of milk, making sure to eliminate any lumps. Continue to cook for 3-4 minutes until the sauce thickens. Stir in 1/2 cup of grated Gruyère cheese and season with salt, pepper, and a pinch of nutmeg. Set aside.

Prepare the Sandwich: Preheat your oven to 400°F (200°C). Lay 4 slices of bread on a flat surface. Spread Dijon mustard on two slices of bread. Place a slice of ham on each of those slices, then top with a generous amount of Gruyère cheese. Place the remaining slices of bread on top to form sandwiches.

Cook the Sandwiches: Heat 1 tablespoon of butter in a skillet over medium heat. Place the sandwiches in the skillet and cook for 2-3 minutes on each side, until golden brown and the cheese begins to melt. Remove the sandwiches from the skillet and place them on a baking sheet.

Add the Sauce and Bake: Spoon the prepared cheese sauce over the top of each sandwich. Sprinkle a little extra Gruyère cheese on top, then place the baking sheet in the oven. Bake for 5-7 minutes, or until the sauce is bubbly and slightly browned.

Prepare the Egg: While the sandwiches are baking, cook 2 eggs sunny-side-up in a small skillet with a little butter, cooking them until the whites are set but the yolks remain runny.

Assemble and Serve: Once the sandwiches are ready, top each with a cooked egg. Serve immediately and enjoy your delicious Croque Madame!"
30,cup_cakes,"flour,sugar,baking powder,salt,butter,eggs,milk,vinella","Prepare the Dry Ingredients: Preheat your oven to 350°F (175°C). Line a muffin tin with cupcake liners. In a bowl, whisk together 1 1/2 cups all-purpose flour, 1 1/2 teaspoons baking powder, and a pinch of salt.

Prepare the Wet Ingredients: In a separate large bowl, beat together 1/2 cup softened butter and 1 cup granulated sugar until light and fluffy. Add 2 large eggs, one at a time, mixing well after each addition. Stir in 1 teaspoon vanilla extract.

Combine the Mixtures: Gradually add the dry ingredients to the wet ingredients, alternating with 1/2 cup of milk. Begin and end with the dry ingredients. Mix until just combined—do not overmix.

Fill the Cupcake Liners: Spoon the batter into the cupcake liners, filling each about 2/3 full to allow space for the cupcakes to rise.

Bake the Cupcakes: Bake for 18-22 minutes, or until a toothpick inserted into the center comes out clean. Remove the cupcakes from the oven and let them cool in the tin for 5 minutes before transferring them to a wire rack to cool completely.

Prepare the Frosting: In a bowl, beat 1/2 cup softened butter until creamy. Gradually add 2 cups powdered sugar and 1 teaspoon vanilla extract, and beat until smooth. If the frosting is too thick, add 1-2 tablespoons of milk to reach your desired consistency.

Frost the Cupcakes: Once the cupcakes are completely cool, spread or pipe the frosting on top. You can decorate with sprinkles, fruit, or chocolate shavings for extra flair.

Serve: Enjoy your freshly made cupcakes!"
31,deviled_egg,"eggs,mayonnaise,dijon mustard,white vinegar,peprika,salt,pepper,chives","Prepare the Eggs: Place 6 large eggs in a saucepan and cover them with cold water. Bring the water to a boil over medium-high heat. Once the water reaches a boil, cover the pan with a lid and remove it from the heat. Let the eggs sit for 10-12 minutes to hard boil. Afterward, transfer the eggs to an ice bath or run them under cold water to cool.

Peel the Eggs: Once the eggs are cool, peel them and cut them in half lengthwise. Carefully remove the yolks and place them in a separate bowl. Set the egg whites aside on a serving platter.

Prepare the Filling: Mash the yolks with a fork and mix them with 3 tablespoons of mayonnaise, 1 teaspoon Dijon mustard, 1 teaspoon white vinegar, a pinch of salt, and freshly ground black pepper to taste. For extra flavor, you can add a small amount of hot sauce, paprika, or relish.

Assemble the Deviled Eggs: Spoon or pipe the filling back into the hollowed-out egg whites. Garnish with a sprinkle of paprika, fresh herbs like parsley, or a small slice of pickle.

Serve: Chill the deviled eggs in the refrigerator for 30 minutes before serving. Enjoy!"
32,donuts,"flour,sugar,yeast,milk,butter,egg,salt,nutmeg,vanilla,vegetable oil","Prepare the Dough: In a large bowl, combine 2 1/4 teaspoons active dry yeast, 1/2 cup warm milk, and 1 tablespoon granulated sugar. Let the mixture sit for 5-10 minutes until it becomes foamy. Add 2 cups all-purpose flour, 1/4 cup granulated sugar, 1/2 teaspoon salt, 1/4 teaspoon ground nutmeg, and 1/4 teaspoon ground cinnamon. Stir in 2 large eggs and 1/4 cup melted butter. Mix until a dough forms.

Knead the Dough: Turn the dough out onto a floured surface and knead for about 5-8 minutes, until smooth and elastic. If the dough is too sticky, add more flour as needed. Place the dough in a lightly greased bowl, cover with a damp cloth, and let it rise in a warm place for 1-1.5 hours, or until doubled in size.

Roll the Dough: Punch the dough down and turn it out onto a floured surface. Roll it out to about 1/2 inch thickness. Using a round cutter, cut out donuts, then use a smaller cutter to remove the centers.

Let the Donuts Rise: Place the cut donuts on a baking sheet lined with parchment paper. Cover and let them rise for an additional 30 minutes.

Fry the Donuts: Heat 3-4 cups of vegetable oil in a deep pot to 350°F (175°C). Carefully fry the donuts in batches for 2-3 minutes on each side, or until golden brown. Use a slotted spoon to remove the donuts and place them on a paper towel-lined plate to drain excess oil.

Prepare the Glaze: In a small bowl, combine 1 cup powdered sugar with 2 tablespoons milk and 1/2 teaspoon vanilla extract. Stir until smooth and slightly runny.

Glaze the Donuts: Dip each donut into the glaze while they are still warm, ensuring they are fully coated. Let the glaze set for a few minutes.

Serve: Enjoy your freshly made, delicious donuts!"
33,dumplings,"flour,baking powder,salt,sugar,butter,milk,meat,onion,garlic,soy sauce,ginger,cabbage,salt,pepper","Prepare the Filling: In a bowl, combine 1/2 pound ground pork or chicken with 1/4 cup finely chopped cabbage, 1/4 cup grated carrots, 2 tablespoons soy sauce, 1 teaspoon sesame oil, 1 teaspoon minced garlic, 1 teaspoon minced ginger, and 1/4 teaspoon salt. Mix thoroughly until the ingredients are well combined.

Prepare the Dumpling Wrappers: If using store-bought wrappers, skip this step. If making homemade wrappers, combine 2 cups all-purpose flour and 1/2 teaspoon salt in a bowl. Gradually add 3/4 cup warm water, stirring to form a dough. Knead the dough for about 5-7 minutes until smooth. Let the dough rest, covered, for 30 minutes before rolling it out into thin circles.

Assemble the Dumplings: Place a small spoonful of the filling in the center of each dumpling wrapper. Wet the edges of the wrapper with a little water and fold it over the filling to form a half-moon shape, pinching the edges tightly to seal the dumpling. You can also pleat the edges for a more traditional look.

Cook the Dumplings: Heat 1 tablespoon vegetable oil in a skillet over medium heat. Arrange the dumplings in the skillet, being careful not to overcrowd them. Cook for 2-3 minutes, until the bottoms are golden brown. Add 1/4 cup water to the skillet and immediately cover with a lid. Steam the dumplings for 5-6 minutes, until the water has evaporated and the dumplings are fully cooked.

Serve: Transfer the dumplings to a plate and serve with soy sauce or a dipping sauce made with soy sauce, rice vinegar, and chili oil. Enjoy!"
34,edamame,"edamame (young soybeans), salt, water","Cook the Edamame:Bring a large pot of water to a boil. Add 1-2 teaspoons of salt to the water.
Add the edamame to the boiling water and cook for about 5-6 minutes, or until tender and easily pierced with a fork.
Drain the edamame in a colander and rinse briefly under cold water to stop the cooking process."
35,eggs_benedict,"English muffins, eggs, Canadian bacon or ham, hollandaise sauce, white vinegar, salt, pepper, butter, lemon juice","Prepare the Hollandaise Sauce:In a heatproof bowl, whisk together egg yolks and lemon juice.Melt butter in a saucepan over low heat.Slowly pour the melted butter into the egg yolk mixture while whisking constantly to create a smooth sauce.Add salt and pepper to taste, and set aside.

Poach the Eggs:Fill a large pan with water and add 1 tablespoon of white vinegar to help the eggs hold their shape.Bring to a simmer.Crack each egg into a small bowl or cup and gently slide them into the simmering water.
Poach the eggs for 3-4 minutes until the whites are set but the yolks remain soft.Use a slotted spoon to remove the eggs, and place them on a paper towel to drain.

Toast the English Muffins and Cook the Bacon:Split the English muffins in half and toast them until lightly golden.In a skillet, cook the Canadian bacon or ham until it’s browned and heated through.
Assemble the Eggs Benedict:Place one half of a toasted English muffin on each plate.Top with a slice of Canadian bacon or ham.Gently place a poached egg on top of the bacon.Spoon a generous amount of hollandaise sauce over the egg.
Garnish with a sprinkle of black pepper or chives if desired."
36,escargots,"escargots, garlic, butter, parsley, shallots, white wine, salt, pepper, lemon juice, bread crumbs","Prepare the Escargots:Place the escargots in their shells (or in a baking dish if using shelled escargots). If using canned escargots, drain and rinse them well.

Prepare the Garlic Butter: In a small bowl, combine softened butter, minced garlic, finely chopped parsley, salt, and pepper. Mix until smooth.

Stuff the Escargots: Fill each escargot shell with the garlic butter mixture, ensuring the escargot is completely covered.

Bake the Escargots: Place the stuffed escargots in an escargot dish or a baking dish. If using shelled escargots, ensure they are securely positioned. Preheat the oven to 375°F (190°C). Bake the escargots for about 12-15 minutes, or until the butter is bubbling and the garlic is fragrant."
37,falafel,"chickpeas, onion, garlic, parsley, cilantro, cumin, coriander, salt, pepper, baking powder, flour, olive oil, lemon juice","Soak the Chickpeas: Place the dried chickpeas in a large bowl and cover with plenty of water. Let them soak for at least 12 hours or overnight. Drain well before using.

Prepare the Falafel Mixture: In a food processor, combine the soaked chickpeas, onion, garlic, parsley, cilantro, cumin, coriander, salt, and pepper. Pulse until the mixture forms a coarse dough. Add baking powder and flour, and pulse again to combine. The mixture should be firm but not dry. If it feels too wet, add more flour.

Shape the Falafel: With your hands or a spoon, form the mixture into small balls or patties, about 1.5 inches in diameter. Place them on a tray or plate.

Heat the Oil: Heat about 3 inches of oil in a deep frying pan or pot over medium-high heat. The oil should reach around 350°F (175°C).

Fry the Falafel: Carefully drop the falafel into the hot oil using a slotted spoon. Fry in batches to avoid overcrowding. Cook for 4-5 minutes, turning occasionally, until golden brown and crispy on all sides. Remove the falafel from the oil and drain on paper towels."
38,filet_mignon,"filet mignon steaks, olive oil, salt, black pepper, butter, garlic cloves, fresh rosemary or thyme, fresh parsley","Prepare the Filet Mignon: Take the filet mignon out of the refrigerator about 30 minutes before cooking to allow it to come to room temperature. Pat the steaks dry with paper towels. Season both sides generously with salt and pepper.

Preheat the Pan: Heat a cast-iron skillet or heavy-bottomed pan over medium-high heat until it is very hot. Add a tablespoon of vegetable oil (or a high-heat oil) and swirl to coat the bottom of the pan.

Sear the Steaks: Place the filet mignon in the hot skillet. Sear the steaks for about 2-3 minutes on each side until a golden-brown crust forms. Use tongs to flip the steaks.

Cook to Desired Doneness: Once seared, reduce the heat to medium and continue cooking the filet mignon until it reaches your desired doneness:

Rare: 120°F (49°C)
Medium-rare: 130°F (54°C)
Medium: 140°F (60°C)
Medium-well: 150°F (66°C)
Well-done: 160°F (71°C)

For medium-rare, cook for an additional 3-4 minutes per side, depending on the thickness of the steak.

Rest the Steaks: Once the steaks are cooked to your liking, remove them from the skillet and let them rest on a plate, covered loosely with foil, for 5-10 minutes to allow the juices to redistribute."
39,fish_and_chips,"filet mignon steaks, olive oil, salt, black pepper, butter, garlic cloves, fresh rosemary or thyme, fresh parsley","Prepare the Filet Mignon: Take the filet mignon out of the refrigerator about 30 minutes before cooking to allow it to come to room temperature. Pat the steaks dry with paper towels. Season both sides generously with salt and pepper.

Preheat the Pan: Heat a cast-iron skillet or heavy-bottomed pan over medium-high heat until it is very hot. Add a tablespoon of vegetable oil (or a high-heat oil) and swirl to coat the bottom of the pan.

Sear the Steaks: Place the filet mignon in the hot skillet. Sear the steaks for about 2-3 minutes on each side until a golden-brown crust forms. Use tongs to flip the steaks.

Cook to Desired Doneness: Once seared, reduce the heat to medium and continue cooking the filet mignon until it reaches your desired doneness:

Rare: 120°F (49°C)
Medium-rare: 130°F (54°C)
Medium: 140°F (60°C)
Medium-well: 150°F (66°C)
Well-done: 160°F (71°C)

For medium-rare, cook for an additional 3-4 minutes per side, depending on the thickness of the steak.

Rest the Steaks: Once the steaks are cooked to your liking, remove them from the skillet and let them rest on a plate, covered loosely with foil, for 5-10 minutes to allow the juices to redistribute."
40,fish_and_mignon,"fish fillets (such as cod or halibut), filet mignon steaks, olive oil, salt, black pepper, butter, garlic cloves, lemon juice, fresh herbs (such as rosemary or thyme), fresh parsley","Prepare the Fish: Choose your preferred type of fish (e.g., cod, halibut, or salmon). Pat the fish fillets dry with paper towels. Season the fish with salt, pepper, and any additional herbs or spices (such as lemon zest, garlic, or dill) to taste.

Prepare the Filet Mignon: Take the filet mignon out of the refrigerator about 30 minutes before cooking to bring it to room temperature. Pat dry with paper towels and season generously with salt and pepper.

Preheat the Pan: Heat a heavy-bottomed skillet or cast-iron pan over medium-high heat. Add a tablespoon of vegetable oil or butter to the pan and swirl to coat.

Sear the Filet Mignon: Place the filet mignon in the hot pan and sear for 2-3 minutes on each side until a golden-brown crust forms. Reduce the heat to medium and cook for another 3-5 minutes per side, depending on the thickness and desired doneness (Medium-rare is 130°F or 54°C).

Cook the Fish: In a separate skillet or on the same pan, add a bit more oil if needed. Place the seasoned fish fillets in the pan and cook for 2-4 minutes per side (depending on the fish type and thickness). The fish should flake easily with a fork when done.

Serve: Once the fish is cooked through and the filet mignon has rested for 5-10 minutes, serve them together on a plate. You can serve with a side of steamed vegetables, mashed potatoes, or a fresh salad."
41,foie_gras,"foie gras, salt, black pepper, butter, shallots, white wine, fresh thyme, port wine","Prepare the Foie Gras: Remove the foie gras from the refrigerator about 15-20 minutes before cooking to bring it to room temperature. Pat it dry with paper towels and season with salt and pepper. If the foie gras is not already portioned, slice it into 1-inch thick pieces.

Preheat the Pan: Heat a heavy skillet (preferably non-stick) over medium-high heat. You do not need to add any oil or butter, as foie gras will release its own fat.

Sear the Foie Gras: Once the pan is hot, gently place the slices of foie gras into the pan. Sear for about 30-45 seconds on each side until golden brown and crisp, making sure not to overcook it, as foie gras should remain soft and tender inside.

Rest the Foie Gras: Remove the foie gras from the pan and place it on a paper towel-lined plate to drain excess fat. Let it rest for a minute before serving.

Serve: Serve the foie gras immediately while warm. You can pair it with toasted brioche, a fruit compote (such as fig or cherry), or a light salad with a balsamic reduction for added flavor."
42,french_fries,"potatoes, vegetable oil, salt, pepper, garlic powder (optional), paprika (optional), fresh parsley (optional)","Prepare the Potatoes: Peel the potatoes (optional) and cut them into thin, even strips, about 1/4 inch thick. Soak the cut fries in cold water for at least 30 minutes to remove excess starch and help them become crispier when fried.

Heat the Oil: In a large pot or deep fryer, heat vegetable oil to 350°F (175°C). You'll need enough oil to submerge the fries completely.

Fry the Potatoes (First Fry): Drain the soaked potatoes and pat them dry with paper towels to remove any excess moisture. Fry the potatoes in batches for about 3-4 minutes until they are soft but not golden. Remove them from the oil and set them aside on a paper towel-lined plate to drain.

Increase Oil Temperature: Increase the temperature of the oil to 375°F (190°C) for the second fry.

Fry the Potatoes (Second Fry): Return the fries to the hot oil and fry for an additional 2-3 minutes, or until they are golden brown and crispy. Remove them from the oil and place them on a paper towel-lined plate to drain excess oil.

Season the Fries: Immediately season the fries with salt while they are still hot. You can also add other seasonings, like garlic powder, paprika, or parsley, for extra flavor.

Serve: Serve the French fries hot with your favorite dipping sauce, such as ketchup, mayo, or a spicy aioli."
43,french_onion_soup,"yellow onions, butter, olive oil, beef broth, chicken broth, dry white wine, bay leaves, fresh thyme, salt, black pepper, sugar, gruyère cheese, baguette slices, garlic","Prepare the Onions: Thinly slice 4 large onions. In a large pot, heat 2 tablespoons of butter and 1 tablespoon of olive oil over medium heat. Add the sliced onions and cook, stirring occasionally, for 25-30 minutes until they are golden brown and caramelized.

Add the Broth and Seasonings: Add 2 cloves of minced garlic and cook for another minute. Then, add 4 cups of beef broth (or vegetable broth for a vegetarian version), 1 teaspoon of thyme, and 1 bay leaf. Stir to combine. Season with salt and pepper to taste. Bring the mixture to a simmer and cook for 20-25 minutes to allow the flavors to meld.

Prepare the Toasted Bread: While the soup is simmering, preheat the oven to 350°F (175°C). Slice a baguette into 1-inch thick slices and place them on a baking sheet. Toast them in the oven for about 10 minutes or until golden and crispy.

Prepare the Cheese: Grate 1 1/2 cups of Gruyère cheese (or a mix of Gruyère and Swiss cheese).

Assemble the Soup: Remove the bay leaf from the soup. Ladle the soup into oven-safe bowls. Place a slice or two of the toasted bread on top of the soup, then sprinkle the grated cheese generously over the bread.

Broil the Soup: Place the bowls under the broiler for about 3-5 minutes, or until the cheese is melted and bubbly, and golden brown.

Serve: Carefully remove the soup from the oven and let it cool slightly before serving. Enjoy your French onion soup with a drizzle of extra olive oil or a sprinkle of fresh herbs if desired."
44,french_toast,"eggs, milk, vanilla extract, ground cinnamon, salt, bread (preferably thick slices like challah or brioche), butter, maple syrup, powdered sugar (optional), fresh berries (optional)","Prepare the Egg Mixture: In a shallow bowl, whisk together 2 eggs, 1/2 cup of milk, 1 teaspoon of vanilla extract, and 1/2 teaspoon of ground cinnamon. Add a pinch of salt and mix well until fully combined.

Prepare the Bread: Choose a thick, sturdy bread like brioche, challah, or Texas toast. Slice the bread into 1-inch thick slices. For extra crispy French toast, you can use slightly stale bread.

Heat the Pan: Heat a skillet or griddle over medium heat and add 1 tablespoon of butter. Let it melt and coat the pan.

Dip the Bread: Dip each slice of bread into the egg mixture, making sure to coat both sides evenly. Let any excess mixture drip off.

Cook the French Toast: Place the soaked bread slices onto the hot pan and cook for 2-3 minutes per side, or until golden brown and slightly crispy on the outside. Flip gently with a spatula to avoid breaking the bread.

Serve: Serve the French toast warm with your choice of toppings such as syrup, powdered sugar, fresh berries, whipped cream, or a dusting of cinnamon."
45,fried_calamari,"calamari rings, all-purpose flour, cornstarch, salt, black pepper, paprika, garlic powder, buttermilk, egg, vegetable oil, lemon wedges, parsley (optional), marinara sauce (optional)","Prepare the Calamari: Clean and slice 1 lb of fresh calamari (squid) into rings, or use pre-cut calamari rings. Pat the calamari dry with paper towels to remove excess moisture.

Prepare the Breading: In a shallow bowl, mix together 1 cup of all-purpose flour, 1 teaspoon of salt, 1 teaspoon of black pepper, and 1 teaspoon of paprika (optional for extra flavor). In another bowl, whisk 1 large egg with 1/4 cup of milk or water.

Coat the Calamari: Dip each calamari ring first into the egg mixture, then dredge it in the flour mixture, ensuring it is evenly coated. Shake off any excess flour.

Heat the Oil: In a deep frying pan or pot, heat 2-3 inches of vegetable oil to 375°F (190°C). You can test the oil by dropping in a small piece of bread; if it browns in about 60 seconds, the oil is ready.

Fry the Calamari: Carefully add the coated calamari rings to the hot oil in batches, being sure not to overcrowd the pan. Fry for about 2-3 minutes, or until golden brown and crispy. Use a slotted spoon to remove the calamari and transfer them to a paper towel-lined plate to drain excess oil.

Serve: Serve the fried calamari immediately while hot. You can garnish with lemon wedges and fresh parsley. Serve with marinara sauce or aioli for dipping."
46,fried_rice,"cooked rice (preferably cold), vegetable oil, garlic cloves, onion, carrot, peas, egg, soy sauce, sesame oil, green onions, salt, black pepper, cooked chicken, shrimp, or pork (optional)","Prepare the Ingredients: Cook 2 cups of rice according to package instructions and let it cool (preferably use day-old rice for better texture). Dice 1 small onion, 1/2 cup of carrots, and 1/2 cup of peas. Mince 2 cloves of garlic. Optionally, prepare protein such as shrimp, chicken, or tofu, and chop into small pieces.

Prepare the Sauce: In a small bowl, mix together 2 tablespoons of soy sauce, 1 tablespoon of oyster sauce (optional), and 1 teaspoon of sesame oil. Set aside.

Heat the Pan: In a large skillet or wok, heat 2 tablespoons of vegetable oil over medium-high heat. Add the diced onion, carrots, and peas. Cook for about 3-4 minutes until the vegetables are softened.

Cook the Protein (Optional): If using protein (shrimp, chicken, or tofu), add it to the pan and cook until fully cooked through. This should take about 3-4 minutes for shrimp or chicken.

Add the Garlic: Add the minced garlic to the pan and cook for another 1 minute until fragrant.

Fry the Rice: Push the vegetables and protein to one side of the pan. Add a bit more oil to the empty side if needed, and add the cooked rice. Break up any clumps with a spatula and stir-fry for about 3-4 minutes, allowing the rice to crisp up slightly.

Combine and Add Sauce: Pour the prepared sauce over the rice and stir to combine. Continue to stir-fry for another 2-3 minutes, ensuring the rice is evenly coated and heated through.

Optional – Add Eggs: Make a well in the center of the rice, add a little oil, and crack 1-2 eggs into the pan. Scramble them and then mix into the rice.

Serve: Garnish with chopped green onions or cilantro if desired. Serve your fried rice hot."
47,frozen_yogurt,"Greek yogurt, heavy cream, milk, sugar, vanilla extract, salt","Prepare the Yogurt Base: In a medium bowl, combine 2 cups of plain Greek yogurt (or any yogurt of your choice), 1/2 cup of honey or maple syrup (adjust to taste), and 1 teaspoon of vanilla extract. Stir well until the mixture is smooth and fully combined.

Chill the Mixture: Cover the yogurt mixture and refrigerate it for at least 1-2 hours to chill.

Prepare the Freezer: If you're using an ice cream maker, follow the manufacturer’s instructions to ensure it's properly chilled. If you don’t have an ice cream maker, you can still make frozen yogurt by freezing the mixture directly.

Churn the Yogurt (with Ice Cream Maker): Once chilled, pour the yogurt mixture into the ice cream maker. Churn according to the manufacturer's instructions, usually for 20-25 minutes, until the frozen yogurt has thickened to your desired consistency.

Freeze the Yogurt (without Ice Cream Maker): If you're not using an ice cream maker, pour the yogurt mixture into a shallow container, cover it with a lid or plastic wrap, and place it in the freezer. Every 30 minutes, stir the mixture vigorously with a fork to break up ice crystals. Repeat this for 3-4 hours until the frozen yogurt is smooth and creamy.

Serve: Scoop the frozen yogurt into bowls or cones. You can top it with fresh fruit, nuts, granola, chocolate chips, or your favorite toppings."
48,garlic_bread,"baguette or Italian bread, butter, garlic cloves, parsley, salt, black pepper, olive oil","Prepare the Garlic Butter: In a small bowl, combine 1/2 cup of softened unsalted butter, 4 cloves of garlic (minced), 1 tablespoon of chopped fresh parsley, and a pinch of salt. Mix well until smooth and evenly combined.

Prepare the Bread: Slice a baguette or French loaf into 1-inch thick slices. You can also use any type of bread you prefer, such as Italian bread.

Spread the Garlic Butter: Spread a generous amount of the garlic butter mixture on each slice of bread, ensuring it covers the entire surface.

Preheat the Oven: Preheat your oven to 375°F (190°C).

Bake the Garlic Bread: Place the buttered bread slices on a baking sheet in a single layer. Bake in the preheated oven for about 10-12 minutes, or until the bread is golden and crispy around the edges.

Serve: Optionally, you can broil the bread for an additional 1-2 minutes at the end to make the top extra crispy and golden. Serve the garlic bread warm."
49,gnocchi,"potatoes, all-purpose flour, egg, salt, butter, parmesan cheese, nutmeg (optional), olive oil","Prepare the Potatoes: Boil 2 pounds of potatoes (preferably russet potatoes) in their skins until tender, about 30 minutes. Drain and let them cool slightly. Peel the potatoes while they are still warm and mash them until smooth.

Make the Gnocchi Dough: Place the mashed potatoes on a clean surface and make a well in the center. Add 1 1/2 cups of all-purpose flour, 1 beaten egg, 1 teaspoon of salt, and a pinch of nutmeg (optional). Mix together to form a dough. Knead gently until smooth, adding more flour if necessary.

Shape the Gnocchi: Divide the dough into smaller portions and roll each portion into a long rope about 1/2 inch thick. Cut the ropes into small pieces (about 1 inch each). You can shape the gnocchi by gently pressing each piece with a fork to create ridges, or you can leave them plain.

Cook the Gnocchi: Bring a large pot of salted water to a boil. Drop the gnocchi into the boiling water in batches. Once the gnocchi float to the surface (about 2-3 minutes), cook for an additional 1-2 minutes to ensure they are cooked through. Remove with a slotted spoon.

Serve: Serve the gnocchi with your choice of sauce, such as marinara, brown butter and sage, or a creamy sauce. You can also sprinkle them with Parmesan cheese and fresh herbs if desired."
50,greek_salad,"cucumber, tomatoes, red onion, green bell pepper, olives (Kalamata), feta cheese, olive oil, lemon juice, oregano, salt, black pepper","Prepare the Vegetables: Chop 1 cucumber into bite-sized pieces, halve or quarter 1 pint of cherry tomatoes, and slice 1 red onion into thin rings. Cut 1 bell pepper into strips (optional).

Prepare the Feta Cheese: Cut 1 block (about 200g) of feta cheese into cubes or crumble it, depending on your preference.

Make the Dressing: In a small bowl, whisk together 3 tablespoons of olive oil, 1 tablespoon of red wine vinegar, 1 teaspoon of dried oregano, 1/2 teaspoon of salt, and a pinch of black pepper.

Assemble the Salad: In a large salad bowl, combine the chopped cucumber, tomatoes, red onion, bell pepper (if using), and feta cheese. Add a handful of Kalamata olives (about 1/4 cup).

Toss and Serve: Drizzle the dressing over the salad and toss gently to combine. Garnish with a few extra olives and a sprinkle of oregano, if desired. Serve immediately."
